,url,address,location.lat,location.lng
75,https://www.airbnb.com/rooms/644083809415894938,Ouro Preto,-20.47014,-43.51872
76,https://www.airbnb.com/rooms/48134511,Ouro Preto,-20.37549,-43.51652
77,https://www.airbnb.com/rooms/37079027,Ouro Preto,-20.47947,-43.51779
78,https://www.airbnb.com/rooms/32571756,Ouro Preto,-20.38689,-43.50793
79,https://www.airbnb.com/rooms/43805080,Ouro Preto,-20.383,-43.50765
80,https://www.airbnb.com/rooms/1084282804584569841,Ouro Preto,-20.387,-43.505
81,https://www.airbnb.com/rooms/1040396844259665648,Ouro Preto,-20.386,-43.515
82,https://www.airbnb.com/rooms/815875037959422724,Ouro Preto,-20.407,-43.494
83,https://www.airbnb.com/rooms/775977905610868468,Ouro Preto,-20.3878,-43.50796
84,https://www.airbnb.com/rooms/1049212800699533536,Ouro Preto,-20.547,-43.557
85,https://www.airbnb.com/rooms/52778432,Ouro Preto,-20.38287,-43.51841
86,https://www.airbnb.com/rooms/521721612768412619,Ouro Preto,-20.398,-43.502
87,https://www.airbnb.com/rooms/23250806,Ouro Preto,-20.39856,-43.50383
88,https://www.airbnb.com/rooms/714323517316563160,Ouro Preto,-20.391,-43.503
89,https://www.airbnb.com/rooms/669243908464951588,Ouro Preto,-20.47654,-43.51674
90,https://www.airbnb.com/rooms/984833557172371435,Ouro Preto,-20.381,-43.518
91,https://www.airbnb.com/rooms/44471312,Ouro Preto,-20.387,-43.505
92,https://www.airbnb.com/rooms/954401035443636136,Ouro Preto,-20.50978,-43.55947
93,https://www.airbnb.com/rooms/1094382040557244778,Ouro Preto,-20.40017,-43.50611
94,https://www.airbnb.com/rooms/47200254,Ouro Preto,-20.37684,-43.49768
95,https://www.airbnb.com/rooms/1001330327296283067,Ouro Preto,-20.386,-43.514
96,https://www.airbnb.com/rooms/1086737759250015169,Ouro Preto,-20.388,-43.504
97,https://www.airbnb.com/rooms/1057882204496543664,Ouro Preto,-20.38405,-43.50084
98,https://www.airbnb.com/rooms/1052073778556812327,Ouro Preto,-20.3847,-43.5035
99,https://www.airbnb.com/rooms/14957728,Ouro Preto,-20.47737,-43.55118
100,https://www.airbnb.com/rooms/973170628764480967,Ouro Preto,-20.3915,-43.50204
