id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1wGT5V8UDHe2Hd4UU9YFuM,0.546,0.588,0.453,6.13E-06,0.0824,-10.024,0.0294,107.039,0.522
1wGvueGYFPUmQUtVglgcPt,0.406,0.557,0.498,0,0.148,-9.094,0.11,132.274,0.793
1Wh5LO3TWAvaeDrwp4FZgo,0.102,0.421,0.154,0.00692,0.207,-12.405,0.0319,99.886,0.0949
1wHKgpL6wb7V922tOJCIl3,0.684,0.402,0.206,0.00135,0.107,-19.784,0.0465,168.31,0.427
1WhMVMvqpqa5IFPlVMAnEX,0.0511,0.612,0.862,0,0.165,-3.732,0.127,133.788,0.304
1wHZx0LgzFHyeIZkUydNXq,0.00767,0.713,0.526,0.000148,0.124,-5.046,0.032,131.05,0.131
1wI3o34hijAIHpjrilLqaL,0.354,0.253,0.811,0.883,0.101,-6.759,0.0533,109.505,0.486
1wi4ti9BYUbwoGJ1EBUVtv,0.0795,0.573,0.916,0,0.0784,-3.39,0.0616,84.476,0.871
1WIhQj1Bv1XTscWNCgmQvX,0.0206,0.402,0.908,0.288,0.731,-6.016,0.0631,136.155,0.634
1WiJYX7am7JFFrnTl6gmTI,0.242,0.659,0.499,0.00216,0.113,-11.351,0.432,164.232,0.901
1wIQtB3UQ1TfjNMZZqO6eh,0.281,0.779,0.694,1.36E-05,0.109,-9.376,0.2,82.861,0.569
1WIZiOuNO3woKfdlSK2gNn,0.0319,0.804,0.66,0,0.103,-4.86,0.0726,94.053,0.257
1wJRveJZLSb1rjhnUHQiv6,0.0153,0.581,0.662,0,0.111,-5.239,0.303,93.023,0.434
1wJyVldOVNI1Fipa513W8S,0.177,0.754,0.881,0,0.366,-3.397,0.324,91.927,0.488
1wK9cRMY8HBmRLiNm72MBG,0.909,0.692,0.373,4.35E-06,0.116,-12.201,0.027,144.591,0.782
1WkMMavIMc4JZ8cfMmxHkI,0.0106,0.669,0.832,0,0.0968,-5.72,0.0682,113.035,0.7
1wl3u4FrzcuBv2LQ97Z6TQ,0.537,0.556,0.446,0,0.201,-8.328,0.03,96.043,0.307
1wl5b2lw3YagQtZiYZbQWP,0.907,0.542,0.32,0.649,0.0609,-9.975,0.0387,116.648,0.206
1wLhwzPAtze5JT8qqXlqaO,0.0158,0.935,0.781,0,0.164,-5.795,0.197,123.894,0.918
1wlKw9NAWVWpx7OIAyg9EA,0.00152,0.574,0.739,0.000328,0.141,-5.745,0.0271,101.069,0.514
1wMALZpuqAy7amQsFBWQ8m,0.882,0.587,0.283,0,0.149,-5.473,0.0279,141.961,0.343
1WmJN61QDECYeW9aFckoVW,0.589,0.397,0.432,1.93E-06,0.109,-10.933,0.0282,130.063,0.221
1WMNEgUbRMGOf4GkPYu1wf,0.0171,0.538,0.73,0,0.103,-3.426,0.276,87.022,0.083
1wMpYYtuCFD379T4OOHqKy,0.193,0.637,0.537,0.00284,0.3,-12.905,0.0275,96.421,0.717
1Wmuc11xACBpOpni7ECC45,0.0118,0.493,0.582,0.000144,0.126,-14.611,0.0548,101.607,0.249
1wncA7mz0ntqvZ8UzFokGk,0.224,0.581,0.826,0.00128,0.0506,-5.603,0.0816,168.561,0.573
1wNEBPo3nsbGCZRryI832I,0.962,0.442,0.18,8.52E-06,0.112,-8.05,0.048,215.669,0.233
